PV technology (raw text),PV technology,PV technology detail,scope of study,duration (raw text),duration in years,start year,end year,system capacity (raw text),system capacity in Watts,number of PV modules in study,PV module nominal power (raw text),PV module nominal power in Watts,country,location (raw text),location,PV module name,bifacial,mounting,Annual power degradation rate (raw text),Annual power degradation rate in percent,location of information,confidence level,Annual degradation rate of other parameters,degradation metric,analysis method,number of measurements for degradation analysis,source of initial power value,other examination techs,faults (raw text),faults,grid-connected,materials and construction,note,event id,record scope,event name,event date,event date (raw text),primary cause,cause categories,cause (raw text),failure mode,impact summary,affected capacity (raw text),affected modules (raw text),city,county,state/region,latitude,longitude,location method,location precision,location evidence,event evidence,weather evidence,source title,source file,source pages,source URL,review status,workbook event id,hazard category (workbook),hazard detail (workbook),named event / cause (workbook),severity,reported loss,capacity MW (workbook),source type (workbook),workbook confidence,workbook verification status,source review / research needed,workbook notes,source capture status
not reported,not reported,not reported,system level,2025-10-16,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,United Kingdom,"Wembley, Greater London, England, United Kingdom","51.552000, -0.303000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Large rooftop PV fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0010; source capture statuses: captured (https://www.london-fire.gov.uk/incidents/2025/october/fire-at-store-wembley/); captured (https://www.arcbox.solar/solar-fires/),PVF-026,Discrete incident,IKEA Wembley rooftop PV,2025-10-16,2025-10-16,equipment_failure,"[""equipment_failure""]",Fire | Large rooftop PV fire | Cause under investigation,Large rooftop PV fire,"Approximately 100 rooftop solar panels caught fire at the IKEA store. Roughly 250 people were evacuated; about 30 firefighters and five fire engines attended, and no injuries were reported.",not reported,not reported,Wembley,Greater London,England,51.552000,-0.303000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"Approximately 100 rooftop solar panels caught fire at the IKEA store. Roughly 250 people were evacuated; about 30 firefighters and five fire engines attended, and no injuries were reported.",Fire | Cause under investigation,Web source: www.london-fire.gov.uk | Web source: www.arcbox.solar,www-london-fire-gov-uk_page_5f99a18d7aa4.pdf | www-arcbox-solar_page_82ba331c5068.pdf,web source,https://www.london-fire.gov.uk/incidents/2025/october/fire-at-store-wembley/ | https://www.arcbox.solar/solar-fires/,verified_websearch_workbook,R-0010,Fire,Large rooftop PV fire,Cause under investigation,Major,not reported,not reported,Fire authority / secondary incident compilation,High,Verified,Obtain final London Fire Brigade cause determination.,Large commercial rooftop incident. | Recovered from conversation record; primary source restored.,captured | captured
not reported,not reported,not reported,system level,2025-08,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,United Kingdom,"East Bergholt, Suffolk, England, United Kingdom",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.62,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV-associated school fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0011; source capture statuses: captured (https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html); captured (https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire),PVF-027,Discrete incident,East Bergholt Primary School rooftop PV,2025-08,2025-08,equipment_failure,"[""equipment_failure""]",Electrical fire | Rooftop PV-associated school fire | Cause not fully published,Rooftop PV-associated school fire,"A school fire was reported as involving or originating around the rooftop solar-panel system. Detailed damage, exact date, and final cause remain unresolved.",not reported,not reported,East Bergholt,Suffolk,England,not reported,not reported,unmapped,not_reported,not reported,"A school fire was reported as involving or originating around the rooftop solar-panel system. Detailed damage, exact date, and final cause remain unresolved.",Electrical fire | Cause not fully published,Web source: www.fia.uk.com | Web source: www.suffolk.gov.uk,www-fia-uk-com_solar-panel-fires-at-suffolk-schools-prompt-safety-review-html_e6c66dcc4898.pdf | www-suffolk-gov-uk_suffolk-county-council-takes-precautionary-action-following-school-fir_6a70f9dc6ebe.pdf,web source,https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html | https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire,partially_verified_websearch_workbook,R-0011,Electrical fire,Rooftop PV-associated school fire,Cause not fully published,Unknown,not reported,not reported,Industry association / local-government context,Medium,Partially verified,"Locate Suffolk Fire and Rescue incident log, exact date, damage description, and final cause.",One of three Suffolk school incidents. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2025-07-06,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,Taiwan,"Southern Taiwan, Multiple municipalities, Chiayi and Tainan, Taiwan",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,"Extreme wind damage to floating, fishpond, and other PV systems","[""hurricane"", ""wind""]",not reported,not reported,User-supplied web-search workbook record R-0012; source capture statuses: captured (https://www.pv-magazine.com/2025/09/01/typhoon-danas-damaged-135000-solar-panels-in-taiwan/); captured (https://www.taiwannews.com.tw/news/6156939),PVF-028,Regional / portfolio evidence,Southern Taiwan PV installations affected by Typhoon Danas,2025-07-06,2025-07-06,hurricane,"[""hurricane"", ""wind""]","Typhoon | Extreme wind damage to floating, fishpond, and other PV systems | Typhoon Danas","Extreme wind damage to floating, fishpond, and other PV systems","Government and industry reporting estimated roughly 135,000 to 145,000 damaged solar panels across more than 30 businesses. Chiayi reportedly accounted for about 114,000 panels and Tainan about 31,000; Budai Township was among the hardest-hit areas.",not reported,not reported,Southern Taiwan,Multiple municipalities,Chiayi and Tainan,not reported,not reported,unmapped,not_reported,not reported,"Government and industry reporting estimated roughly 135,000 to 145,000 damaged solar panels across more than 30 businesses. Chiayi reportedly accounted for about 114,000 panels and Tainan about 31,000; Budai Township was among the hardest-hit areas.",Typhoon | Typhoon Danas,Web source: www.pv-magazine.com | Web source: www.taiwannews.com.tw,www-pv-magazine-com_page_5cf07d957ca0.pdf | www-taiwannews-com-tw_6156939_4c9291b6484e.pdf,web source,https://www.pv-magazine.com/2025/09/01/typhoon-danas-damaged-135000-solar-panels-in-taiwan/ | https://www.taiwannews.com.tw/news/6156939,verified_websearch_workbook,R-0012,Typhoon,"Extreme wind damage to floating, fishpond, and other PV systems",Typhoon Danas,Catastrophic / regional,not reported,not reported,Government figures reported by trade and national news,High,Verified,Resolve individual operators and sites into discrete records where reliable facility-level reports exist.,Portfolio record; reported totals differ by publication date. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2025-05-22,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,United Kingdom,"Bristol, Bristol, England, United Kingdom","51.459000, -2.593000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV fault and roof fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0013; source capture statuses: capture_failed (https://www.bristol247.com/news-and-features/news/maternity-hospital-fire-caused-by-solar-panel-fault/); captured (https://www.thefpa.co.uk/news/roof-fire-sees-bristol-maternity-hospital-evacuated),PVF-029,Discrete incident,St Michael's Hospital rooftop PV,2025-05-22,2025-05-22,equipment_failure,"[""equipment_failure""]",Electrical fire | Rooftop PV fault and roof fire | Fault in rooftop solar panels,Rooftop PV fault and roof fire,"A fire involving the maternity hospital's rooftop solar installation produced heavy smoke and required evacuation of patients, including pregnant women and babies. Fifteen patients were reported safely evacuated and no injuries were reported.",not reported,not reported,Bristol,Bristol,England,51.459000,-2.593000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"A fire involving the maternity hospital's rooftop solar installation produced heavy smoke and required evacuation of patients, including pregnant women and babies. Fifteen patients were reported safely evacuated and no injuries were reported.",Electrical fire | Fault in rooftop solar panels,Web source: www.bristol247.com | Web source: www.thefpa.co.uk,www-thefpa-co-uk_roof-fire-sees-bristol-maternity-hospital-evacuated_48be6ad4f73d.pdf,web source,https://www.bristol247.com/news-and-features/news/maternity-hospital-fire-caused-by-solar-panel-fault/ | https://www.thefpa.co.uk/news/roof-fire-sees-bristol-maternity-hospital-evacuated,verified_websearch_workbook,R-0013,Electrical fire,Rooftop PV fault and roof fire,Fault in rooftop solar panels,Major,not reported,not reported,Local news / fire-protection publication,High,Verified,Obtain Avon Fire and Rescue incident report and quantify damaged modules and roof area.,Hospital rooftop incident. | Recovered from conversation record.,capture_failed | captured
not reported,not reported,not reported,system level,2025-04-29,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,United States,"Joliet, Will County, Illinois, United States","41.490000, -88.190000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Warehouse roof fire involving rooftop PV,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0014; source capture statuses: captured (https://www.cbsnews.com/chicago/news/joliet-ikea-warehouse-fire-roof-solar-panels/); captured (https://risklogic.com/industry_news/ikea-near-chicago-damaged-by-fire),PVF-030,Discrete incident,IKEA distribution center rooftop PV,2025-04-29,2025-04-29,equipment_failure,"[""equipment_failure""]",Fire | Warehouse roof fire involving rooftop PV | Cause under investigation,Warehouse roof fire involving rooftop PV,"Approximately one-third of the warehouse roof burned. At least dozens—and in some reports about 100—of the more than 9,000 rooftop solar panels were destroyed. One firefighter was treated for exhaustion.",not reported,not reported,Joliet,Will County,Illinois,41.490000,-88.190000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"Approximately one-third of the warehouse roof burned. At least dozens—and in some reports about 100—of the more than 9,000 rooftop solar panels were destroyed. One firefighter was treated for exhaustion.",Fire | Cause under investigation,Web source: www.cbsnews.com | Web source: risklogic.com,www-cbsnews-com_page_9799982d95aa.pdf | risklogic-com_ikea-near-chicago-damaged-by-fire_7f9d3e3ac7ce.pdf,web source,https://www.cbsnews.com/chicago/news/joliet-ikea-warehouse-fire-roof-solar-panels/ | https://risklogic.com/industry_news/ikea-near-chicago-damaged-by-fire,verified_websearch_workbook,R-0014,Fire,Warehouse roof fire involving rooftop PV,Cause under investigation,Major,not reported,not reported,Major local news / insurance-risk publication,High,Verified,Obtain Joliet Fire Department investigation and reconcile module-loss estimate.,PV damage confirmed; PV ignition not established. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2025-04-04,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,Belgium,"Halle, Flemish Brabant, Belgium","50.737000, 4.235000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Roof fire involving PV array,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0015; source capture statuses: captured (https://www.pv-magazine.com/2025/04/04/fire-damages-pv-system-on-school-in-belgium/); captured (https://iffs-europe.com/blogs/news/the-crucial-role-of-fire-extinguishers-why-iffs-is-your-trusted-partner-in-fire-safety),PVF-031,Discrete incident,Don Bosco school rooftop PV,2025-04-04,2025-04-04,equipment_failure,"[""equipment_failure""]",Fire | Roof fire involving PV array | Cause not established,Roof fire involving PV array,A fire damaged approximately 100 of the 160 rooftop solar panels. Firefighters quickly controlled the blaze; the building was unoccupied and no injuries were reported.,not reported,not reported,Halle,not reported,Flemish Brabant,50.737000,4.235000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,A fire damaged approximately 100 of the 160 rooftop solar panels. Firefighters quickly controlled the blaze; the building was unoccupied and no injuries were reported.,Fire | Cause not established,Web source: www.pv-magazine.com | Web source: iffs-europe.com,www-pv-magazine-com_page_8837515e1201.pdf | iffs-europe-com_the-crucial-role-of-fire-extinguishers-why-iffs-is-your-trusted-partne_04fac9b4e2a5.pdf,web source,https://www.pv-magazine.com/2025/04/04/fire-damages-pv-system-on-school-in-belgium/ | https://iffs-europe.com/blogs/news/the-crucial-role-of-fire-extinguishers-why-iffs-is-your-trusted-partner-in-fire-safety,verified_websearch_workbook,R-0015,Fire,Roof fire involving PV array,Cause not established,Major,not reported,not reported,Trade publication citing fire brigade / secondary fire-safety source,High,Verified,Locate the original Brandweerzone Vlaams-Brabant West statement and final cause.,Panel-loss count reported consistently; broader roof damage unclear. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2025-03-11,not reported,2025,2025,5 MW,5000000,not reported,not reported,not reported,United States,"East Windsor, Hartford County, Connecticut, United States","41.910000, -72.600000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Transformer/electrical failure and vegetation fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0016; source capture statuses: captured (https://www.ctinsider.com/journalinquirer/article/east-windsor-solar-facility-fire-east-road-ct-20215989.php); captured (https://hartfordbusiness.com/article/more-than-a-year-after-fire-east-windsor-solar-facility-remains-dark-and-questions-remain/),PVF-032,Discrete incident,NextEra solar facility at 341 East Road,2025-03-11,2025-03-11,equipment_failure,"[""equipment_failure""]",Electrical fire | Transformer/electrical failure and vegetation fire | Transformer malfunction and electrical arcing,Transformer/electrical failure and vegetation fire,"A transformer or related pole-mounted electrical component malfunctioned or exploded, dropping sparks into dry vegetation at the solar facility. The resulting fire burned an approximately 100-by-50-foot area, spread toward the array and nearby tobacco sheds, and was controlled within about 25 minutes. The 5 MW facility later remained out of operation for more than a year.",5 MW,not reported,East Windsor,Hartford County,Connecticut,41.910000,-72.600000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"A transformer or related pole-mounted electrical component malfunctioned or exploded, dropping sparks into dry vegetation at the solar facility. The resulting fire burned an approximately 100-by-50-foot area, spread toward the array and nearby tobacco sheds, and was controlled within about 25 minutes. The 5 MW facility later remained out of operation for more than a year.",Electrical fire | Transformer malfunction and electrical arcing,Web source: www.ctinsider.com | Web source: hartfordbusiness.com,www-ctinsider-com_east-windsor-solar-facility-fire-east-road-ct-20215989-php_1efb533677ba.pdf | hartfordbusiness-com_page_899f33ae4502.pdf,web source,https://www.ctinsider.com/journalinquirer/article/east-windsor-solar-facility-fire-east-road-ct-20215989.php | https://hartfordbusiness.com/article/more-than-a-year-after-fire-east-windsor-solar-facility-remains-dark-and-questions-remain/,verified_websearch_workbook,R-0016,Electrical fire,Transformer/electrical failure and vegetation fire,Transformer malfunction and electrical arcing,Major operational impact,not reported,5,Fire-department statements / business-press follow-up,High,Verified,"Obtain Broad Brook Fire Department report, Eversource findings, and final repair/restart disposition.",Modules were threatened but not confirmed burned; qualifying damage/outage involved PV balance-of-system equipment. Legacy ID conflict is why rebuild IDs are used. | Recovered from final failed-download run and reverified.,captured | captured
not reported,not reported,not reported,system level,2025-03-03,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,Germany,"Norden, Aurich district, Lower Saxony, Germany",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,"PV modules, cabling, and timber roof structure burned","[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0017; source capture statuses: captured (https://www.feuerwehr-norden.de/2025/03/03/photovoltaik-anlage-brennt-auf-hallendach/); captured (https://www.pv-magazine.com/2025/03/05/germany-hit-by-two-pv-system-fires/),PVF-033,Discrete incident,Warehouse rooftop PV on Hallenstraße,2025-03-03,2025-03-03,equipment_failure,"[""equipment_failure""]","Fire | PV modules, cabling, and timber roof structure burned | Cause under investigation","PV modules, cabling, and timber roof structure burned","Several modules burned on the roof of an approximately 100-meter-long warehouse. The fire repeatedly reignited while the array remained energized, spread to the timber roof structure, and required about seven hours, two water cannons, thermal-imaging drones, module dismantling, and roughly 100 responders.",not reported,not reported,Norden,Aurich district,Lower Saxony,not reported,not reported,unmapped,not_reported,not reported,"Several modules burned on the roof of an approximately 100-meter-long warehouse. The fire repeatedly reignited while the array remained energized, spread to the timber roof structure, and required about seven hours, two water cannons, thermal-imaging drones, module dismantling, and roughly 100 responders.",Fire | Cause under investigation,Web source: www.feuerwehr-norden.de | Web source: www.pv-magazine.com,www-feuerwehr-norden-de_page_c1f231dab546.pdf | www-pv-magazine-com_page_6d66425d32f5.pdf,web source,https://www.feuerwehr-norden.de/2025/03/03/photovoltaik-anlage-brennt-auf-hallendach/ | https://www.pv-magazine.com/2025/03/05/germany-hit-by-two-pv-system-fires/,verified_websearch_workbook,R-0017,Fire,"PV modules, cabling, and timber roof structure burned",Cause under investigation,Major,not reported,not reported,Fire department / trade publication,High,Verified,Obtain police/expert final cause and quantified loss.,Distinct from Erftstadt incident on the same date. | Recovered from conversation summary and reverified.,captured | captured
not reported,not reported,not reported,system level,2025-03-03,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,Germany,"Erftstadt-Scheuren, Rhein-Erft-Kreis, North Rhine-Westphalia, Germany",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,"Garage, PV equipment area, and reported storage system destroyed","[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0018; source capture statuses: captured (https://www.ksta.de/region/rhein-erft/erftstadt/erftstadt-photovoltaikanlage-feuerwehr-erftstadt-kann-brand-schnell-loeschen-977266/); captured (https://www.pv-magazine.com/2025/03/05/germany-hit-by-two-pv-system-fires/),PVF-034,Discrete incident,"Garage PV system and storage, Rulenzflies",2025-03-03,2025-03-03,equipment_failure,"[""equipment_failure""]","Fire | Garage, PV equipment area, and reported storage system destroyed | Cause under investigation","Garage, PV equipment area, and reported storage system destroyed",A garage burned completely in the area of a photovoltaic system; local reporting said the PV storage unit was also inside. About 50 firefighters prevented spread to the adjoining residence and no injuries were reported.,not reported,not reported,Erftstadt-Scheuren,Rhein-Erft-Kreis,North Rhine-Westphalia,not reported,not reported,unmapped,not_reported,not reported,A garage burned completely in the area of a photovoltaic system; local reporting said the PV storage unit was also inside. About 50 firefighters prevented spread to the adjoining residence and no injuries were reported.,Fire | Cause under investigation,Web source: www.ksta.de | Web source: www.pv-magazine.com,www-ksta-de_page_9a3c39063f88.pdf | www-pv-magazine-com_page_6d66425d32f5.pdf,web source,https://www.ksta.de/region/rhein-erft/erftstadt/erftstadt-photovoltaikanlage-feuerwehr-erftstadt-kann-brand-schnell-loeschen-977266/ | https://www.pv-magazine.com/2025/03/05/germany-hit-by-two-pv-system-fires/,verified_websearch_workbook,R-0018,Fire,"Garage, PV equipment area, and reported storage system destroyed",Cause under investigation,Major,not reported,not reported,Local news quoting fire department / trade publication,High,Verified,Obtain police cause finding and confirm battery chemistry/capacity and exact PV damage.,Distinct from Norden incident on the same date. | Recovered from conversation summary and reverified.,captured | captured
not reported,not reported,not reported,system level,2025-02-20,not reported,2025,2025,not reported,not reported,not reported,not reported,not reported,Australia,"Raywood, City of Greater Bendigo, Victoria, Australia","-36.530000, 144.230000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Inverter fire spreading to vegetation,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0019; source capture statuses: captured (https://news.cfa.vic.gov.au/news/solar-farm-in-raywood-incident); captured (https://www.energysafe.vic.gov.au/media-centre/news/energy-safe-victoria-switches-5-solar-farms-over-bushfire-concerns),PVF-035,Discrete incident,Raywood Solar Farm,2025-02-20,2025-02-20,equipment_failure,"[""equipment_failure""]",Electrical fire | Inverter fire spreading to vegetation | Inverter fire,Inverter fire spreading to vegetation,"An inverter caught fire at the commercial solar farm. The fire spread into site vegetation, generated black smoke, and prompted a community warning. Ten CFA units attended; the incident was contained after power isolation.",not reported,not reported,Raywood,City of Greater Bendigo,Victoria,-36.530000,144.230000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"An inverter caught fire at the commercial solar farm. The fire spread into site vegetation, generated black smoke, and prompted a community warning. Ten CFA units attended; the incident was contained after power isolation.",Electrical fire | Inverter fire,Web source: news.cfa.vic.gov.au | Web source: www.energysafe.vic.gov.au,news-cfa-vic-gov-au_solar-farm-in-raywood-incident_acc7771df31c.pdf | www-energysafe-vic-gov-au_energy-safe-victoria-switches-5-solar-farms-over-bushfire-concerns_6affcf452532.pdf,web source,https://news.cfa.vic.gov.au/news/solar-farm-in-raywood-incident | https://www.energysafe.vic.gov.au/media-centre/news/energy-safe-victoria-switches-5-solar-farms-over-bushfire-concerns,verified_websearch_workbook,R-0019,Electrical fire,Inverter fire spreading to vegetation,Inverter fire,Major,not reported,not reported,Fire authority / energy regulator,High,Verified,Obtain final Energy Safe Victoria investigation findings if published.,Corrected from an earlier transformer description; primary sources identify an inverter. | Recovered existing record and corrected.,captured | captured
not reported,not reported,not reported,system level,2024-10-22,not reported,2024,2024,not reported,not reported,not reported,not reported,not reported,Belgium,"Brussels city centre, Brussels-Capital Region, Belgium","50.848000, 4.365000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Facade-integrated PV fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0020; source capture statuses: captured (https://www.pv-magazine.com/2024/11/19/bipv-likely-linked-to-recent-fire-at-brussels-first-net-zero-building/); captured (https://www.brusselstimes.com/1281116/solar-panels-catch-fire-on-brussels-city-centre-office-building),PVF-036,Discrete incident,Treurenberg net-zero office building BIPV,2024-10-22,2024-10-22,equipment_failure,"[""equipment_failure""]",Electrical fire | Facade-integrated PV fire | Likely BIPV-related ignition,Facade-integrated PV fire,"Solar panels integrated into the facade of the seven-story Treurenberg office building caught fire. The building was evacuated, firefighters isolated and extinguished the panels, and no injuries were reported.",not reported,not reported,Brussels city centre,not reported,Brussels-Capital Region,50.848000,4.365000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"Solar panels integrated into the facade of the seven-story Treurenberg office building caught fire. The building was evacuated, firefighters isolated and extinguished the panels, and no injuries were reported.",Electrical fire | Likely BIPV-related ignition,Web source: www.pv-magazine.com | Web source: www.brusselstimes.com,www-pv-magazine-com_page_1148efd25371.pdf | www-brusselstimes-com_solar-panels-catch-fire-on-brussels-city-centre-office-building_7a9a9961fb3f.pdf,web source,https://www.pv-magazine.com/2024/11/19/bipv-likely-linked-to-recent-fire-at-brussels-first-net-zero-building/ | https://www.brusselstimes.com/1281116/solar-panels-catch-fire-on-brussels-city-centre-office-building,verified_websearch_workbook,R-0020,Electrical fire,Facade-integrated PV fire,Likely BIPV-related ignition,Localized,not reported,not reported,Trade and local news citing fire brigade,High,Verified,Obtain final Brussels Fire Brigade investigation and exact damaged BIPV area.,"Facade BIPV incident, not a conventional rooftop array. | Recovered from conversation record.",captured | captured
not reported,not reported,not reported,system level,2023-11,not reported,2023,2023,not reported,not reported,not reported,not reported,not reported,France,"Ychoux, Landes, Nouvelle-Aquitaine, France","44.330000, -0.960000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Near-total module and structure destruction,"[""wind""]",not reported,not reported,User-supplied web-search workbook record R-0021; source capture statuses: captured (https://www.pv-magazine.com/2026/06/22/repowering-after-the-storm/); captured (https://www.photosol.fr/actualites/groupe/photosol-accelere-la-transition-energetique-avec-le-repowering-du-site-dychoux/),PVF-037,Discrete incident,Ychoux 2 solar plant,2023-11,2023-11,wind,"[""wind""]",Severe wind | Near-total module and structure destruction | Storm Domingos,Near-total module and structure destruction,Storm Domingos destroyed nearly all of the Ychoux 2 solar plant. The operator secured and dismantled the damaged installation and later rebuilt it with reinforced structures and higher-capacity modules.,not reported,not reported,Ychoux,Landes,Nouvelle-Aquitaine,44.330000,-0.960000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,Storm Domingos destroyed nearly all of the Ychoux 2 solar plant. The operator secured and dismantled the damaged installation and later rebuilt it with reinforced structures and higher-capacity modules.,Severe wind | Storm Domingos,Web source: www.pv-magazine.com | Web source: www.photosol.fr,www-pv-magazine-com_page_1692dc140e00.pdf | www-photosol-fr_page_0c0d6c1399f5.pdf,web source,https://www.pv-magazine.com/2026/06/22/repowering-after-the-storm/ | https://www.photosol.fr/actualites/groupe/photosol-accelere-la-transition-energetique-avec-le-repowering-du-site-dychoux/,verified_websearch_workbook,R-0021,Severe wind,Near-total module and structure destruction,Storm Domingos,Catastrophic / facility,not reported,not reported,Trade publication / operator statement,High,Verified,"Determine exact storm date, pre-loss capacity, module count, insured loss, and whether Ychoux 1 should be a separate incident.",Operator also reports damage at Ychoux 1; this record is limited to the near-total Ychoux 2 loss. | Newly found during rebuild; master-database dedupe unresolved.,captured | captured
not reported,not reported,not reported,system level,2023-05,not reported,2023,2023,not reported,not reported,not reported,not reported,not reported,Gibraltar,"Europa Point, Gibraltar","36.110000, -5.346000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.62,not reported,not reported,not reported,not reported,not reported,not reported,Two modules and waterproof roof membrane damaged,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0022; source capture statuses: captured (https://www.pv-magazine.com/2026/03/13/fire-hits-pv-equipped-sport-complex-in-gibraltar/); captured (https://www.chronicle.gi/repairs-to-europa-sports-complex-to-start-soon/),PVF-038,Discrete incident,Europa Point Stadium rooftop PV,2023-05,2023-05,equipment_failure,"[""equipment_failure""]",Fire | Two modules and waterproof roof membrane damaged | Cause not recovered from available retrospective reporting,Two modules and waterproof roof membrane damaged,"Retrospective reporting on the 2026 stadium fire stated that a May 2023 fire affected two solar panels and damaged the roof waterproofing membrane, contributing to water ingress during later heavy rain. Repairs were reportedly covered by general insurance.",not reported,not reported,Europa Point,not reported,not reported,36.110000,-5.346000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"Retrospective reporting on the 2026 stadium fire stated that a May 2023 fire affected two solar panels and damaged the roof waterproofing membrane, contributing to water ingress during later heavy rain. Repairs were reportedly covered by general insurance.",Fire | Cause not recovered from available retrospective reporting,Web source: www.pv-magazine.com | Web source: www.chronicle.gi,www-pv-magazine-com_page_6bb2fad618b3.pdf | www-chronicle-gi_page_ed6f2e6cdde4.pdf,web source,https://www.pv-magazine.com/2026/03/13/fire-hits-pv-equipped-sport-complex-in-gibraltar/ | https://www.chronicle.gi/repairs-to-europa-sports-complex-to-start-soon/,verified_websearch_workbook,R-0022,Fire,Two modules and waterproof roof membrane damaged,Cause not recovered from available retrospective reporting,Localized / consequential,not reported,not reported,Trade publication citing government / local follow-up,Medium,Verified,"Locate contemporaneous May 2023 fire-service report, exact date, cause, and repair claim documentation.",Distinct earlier incident at the same site as R-0009. | Newly reconstructed from retrospective reporting; master-database dedupe unresolved.,captured | captured
